2012 rank	City	State	2012 estimate	2010 Census	Change	2012 land area	2012 population density	ANSI	Location
193	Olathe	Kansas	"130,045"	"125,872"	3.32%	59.661 sq mi	"2,110 per sq mi"	485633	38.8843°N 94.8188°W
227	Springfield	Illinois	"117,126"	"116,250"	0.75%	59.480 sq mi	"1,954 per sq mi"	2395940	39.7639°N 89.6708°W
103	Spokane	Washington	"209,525"	"208,916"	0.29%	59.247 sq mi	"3,526 per sq mi"	2411956	47.6736°N 117.4166°W
98	San Bernardino	California	"213,295"	"209,924"	1.61%	59.201 sq mi	"3,546 per sq mi"	2411777	34.1393°N 117.2953°W
86	Garland	Texas	"233,564"	"226,876"	2.95%	57.085 sq mi	"3,974 per sq mi"	2410572	32.9098°N 96.6304°W
45	Oakland	California	"400,740"	"390,724"	2.56%	55.786 sq mi	"7,004 per sq mi"	2411292	37.7699°N 122.2256°W
181	Dayton	Ohio	"141,359"	"141,527"	?0.12%	55.652 sq mi	"2,543 per sq mi"	1086666	39.7774°N 84.1996°W
61	Pittsburgh	Pennsylvania	"306,211"	"305,704"	0.17%	55.367 sq mi	"5,521 per sq mi"	1214818	40.4398°N 79.9766°W
234	Murfreesboro	Tennessee	"114,038"	"108,755"	4.86%	55.346 sq mi	"1,965 per sq mi"	2404342	35.8522°N 86.4161°W
279	West Palm Beach	Florida	"101,903"	"99,919"	1.99%	55.293 sq mi	"1,807 per sq mi"	2405713	26.7483°N 80.1266°W
195	Thousand Oaks	California	"128,412"	"126,683"	1.36%	55.031 sq mi	"2,302 per sq mi"	2412065	34.1933°N 118.8742°W
249	Rochester	Minnesota	"108,992"	"106,769"	2.08%	54.586 sq mi	"1,956 per sq mi"	2396395	44.0154°N 92.4772°W
